cell_type	gene_symbol	ensembl_id	rank	score	pct_expressed	pct_others	p_val_adj	gene_biotype
Bergmann glia cell	NKX2-2	ENSG00000125820	45	3.54859534430688	0.395	0.031	0.0	protein_coding
Bergmann glia cell	LRRC8A	ENSG00000136802	46	3.5480236504784	0.6	0.184	0.0	protein_coding
Bergmann glia cell	FAM107A	ENSG00000168309	47	3.52548793454704	0.566	0.131	0.0	protein_coding
Bergmann glia cell	BCAT2	ENSG00000105552	48	3.51941562876607	0.706	0.224	0.0	protein_coding
Bergmann glia cell	PLEKHH2	ENSG00000152527	49	3.49059505741614	0.83	0.165	0.0	protein_coding
Bergmann glia cell	GPR37L1	ENSG00000170075	50	3.49020157053588	0.567	0.06	0.0	protein_coding
CGE-derived interneuron	VIP	ENSG00000146469	1	7.86504175389611	0.527	0.014	0.0	protein_coding
CGE-derived interneuron	CXCL14	ENSG00000145824	2	6.7474734420189	0.825	0.062	0.0	protein_coding
CGE-derived interneuron	KMO	ENSG00000117009	3	5.76285122242825	0.395	0.029	0.0	protein_coding
CGE-derived interneuron	TAC3	ENSG00000166863	4	5.50154180799285	0.284	0.019	0.0	protein_coding
CGE-derived interneuron	SLC10A4	ENSG00000145248	5	5.40838074689146	0.403	0.016	0.0	protein_coding
CGE-derived interneuron	CCK	ENSG00000187094	6	4.66493359318015	0.826	0.201	0.0	protein_coding
CGE-derived interneuron	RELN	ENSG00000189056	7	4.63755350030728	0.547	0.142	0.0	protein_coding
CGE-derived interneuron	CRH	ENSG00000147571	8	4.54161985411358	0.495	0.038	0.0	protein_coding
CGE-derived interneuron	SHISA8	ENSG00000234965	9	4.40716997974541	0.493	0.05	0.0	protein_coding
CGE-derived interneuron	CALB2	ENSG00000172137	10	4.32856371096145	0.531	0.049	0.0	protein_coding
CGE-derived interneuron	PTHLH	ENSG00000087494	11	4.03872478282663	0.312	0.036	0.0	protein_coding
CGE-derived interneuron	CNR1	ENSG00000118432	12	3.8477491804937	0.776	0.256	0.0	protein_coding
CGE-derived interneuron	ADARB2	ENSG00000185736	13	3.67446628326396	0.999	0.354	0.0	protein_coding
CGE-derived interneuron	ADRA1B	ENSG00000170214	14	3.64982404548849	0.589	0.111	0.0	protein_coding
CGE-derived interneuron	DLX1	ENSG00000144355	15	3.62291997665736	0.516	0.039	0.0	protein_coding
CGE-derived interneuron	PNOC	ENSG00000168081	16	3.61355025926241	0.279	0.033	0.0	protein_coding
CGE-derived interneuron	CHRNA2	ENSG00000120903	17	3.60220986954498	0.267	0.027	0.0	protein_coding
CGE-derived interneuron	NPAS1	ENSG00000130751	18	3.56603406543319	0.39	0.072	0.0	protein_coding
CGE-derived interneuron	SLC25A48	ENSG00000145832	19	3.39587511917768	0.521	0.055	0.0	protein_coding
CGE-derived interneuron	CHRNA7	ENSG00000175344	20	3.301728634609	0.457	0.134	2.0409329371851798e-218	protein_coding
CGE-derived interneuron	PROX1	ENSG00000117707	21	3.16053631442549	0.763	0.126	0.0	protein_coding
CGE-derived interneuron	IGF1	ENSG00000017427	22	3.15705137580986	0.741	0.112	0.0	protein_coding
CGE-derived interneuron	HAPLN1	ENSG00000145681	23	3.14301568852061	0.293	0.041	6.90313620222712e-289	protein_coding
CGE-derived interneuron	RGS12	ENSG00000159788	24	3.09564432579481	0.95	0.414	0.0	protein_coding
CGE-derived interneuron	SCG2	ENSG00000171951	25	3.01930951216	0.838	0.248	0.0	protein_coding
CGE-derived interneuron	CBLN4	ENSG00000054803	26	3.01163669371421	0.281	0.079	2.16016840289597e-120	protein_coding
CGE-derived interneuron	THSD7B	ENSG00000144229	27	3.0047458305302	0.538	0.194	1.0342954450089601e-188	protein_coding
CGE-derived interneuron	LRRC39	ENSG00000122477	28	2.95573747624909	0.621	0.181	0.0	protein_coding
CGE-derived interneuron	ARL4C	ENSG00000188042	29	2.91232354822712	0.858	0.239	0.0	protein_coding
CGE-derived interneuron	PKP2	ENSG00000057294	30	2.84676335100043	0.55	0.132	0.0	protein_coding
CGE-derived interneuron	ENTPD3	ENSG00000168032	31	2.84557385754543	0.77	0.231	0.0	protein_coding
CGE-derived interneuron	ANKRD55	ENSG00000164512	32	2.81256223757741	0.669	0.14	0.0	protein_coding
CGE-derived interneuron	GLRA2	ENSG00000101958	33	2.81003529885254	0.597	0.176	2.01007160791279e-302	protein_coding
CGE-derived interneuron	SLC32A1	ENSG00000101438	34	2.76456128690678	0.458	0.083	0.0	protein_coding
CGE-derived interneuron	PCDH8	ENSG00000136099	35	2.75961234792185	0.475	0.127	1.62576932514669e-248	protein_coding
CGE-derived interneuron	ASIC4	ENSG00000072182	36	2.75480445066972	0.365	0.052	0.0	protein_coding
