Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
LRP6,7.0926596e-08,-14.650103569030762,0.4356608473861216,0.7744061,0.3788574395281218,1.0
SEMA6A-AS1,7.089719e-08,-14.650430679321289,0.434975486768767,0.773764,0.3790551372934736,1.0
SLC36A4,7.0851826e-08,-14.650935173034668,0.4339184728720306,0.7727742,0.3793601912440139,1.0
MIR503HG,7.082749e-08,-14.651206016540527,0.4333510022734047,0.7722434,0.37952393811106233,1.0
TSTD3,7.079627e-08,-14.6515531539917,0.4326236808019263,0.77156276,0.3797340353069203,1.0
SENP6,7.079606e-08,-14.651556015014648,0.43261768639419435,0.7715582,0.37973543417429156,1.0
UBASH3B,7.078518e-08,-14.651677131652832,0.4323639231335412,0.771321,0.379808700817317,1.0
ZNF91,7.068875e-08,-14.652751922607422,0.43011202396223325,0.76922095,0.3804581661639368,1.0
ZBTB44,7.0625575e-08,-14.653456687927246,0.42863540152425933,0.76784664,0.3808840356907165,1.0
AKAP13,7.059782e-08,-14.653765678405762,0.4279880054892072,0.7672433,0.38107120486406787,1.0
GSAP,7.051977e-08,-14.654638290405273,0.4261597111309581,0.7655477,0.3815979431384017,1.0
CNNM2,7.0489754e-08,-14.654973983764648,0.4254563672904076,0.7648962,0.38180059509548114,1.0
ZNF131,7.044475e-08,-14.655476570129395,0.4244033496654925,0.76391983,0.38210459882172554,1.0
FBXO38,7.0439874e-08,-14.655531883239746,0.4242874577826745,0.7638141,0.3821375418348808,1.0
TGOLN2,7.043551e-08,-14.655580520629883,0.4241855528512311,0.76371944,0.3821670342571958,1.0
LCP1,7.039739e-08,-14.656006813049316,0.4232923860991684,0.762893,0.38242467279480075,1.0
