Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
FAM228B,2.6091788e-08,-35.01209259033203,-1.4728046433904132,0.10611954,0.7446059844539644,0.8191211727809191
RAB32,2.6088605e-08,-35.01252365112305,-1.4730401489804472,0.10609366,0.7446360464656591,0.8188540767473224
ENO4,2.608045e-08,-35.01362609863281,-1.4736424597372602,0.106027335,0.7447130978071341,0.8186388302268166
NAA20,2.607863e-08,-35.01387405395508,-1.4737779275545366,0.106012546,0.7447302826268063,0.818357956119753
CAST,2.6061848e-08,-35.016143798828125,-1.475017979112681,0.10587614,0.7448888437462204,0.8182325842175723
MACO1,2.6061223e-08,-35.01622772216797,-1.4750638297585283,0.10587107,0.744894743899398,0.8179396730486987
H2AC6,2.6059446e-08,-35.0164680480957,-1.475195129335273,0.10585663,0.7449115354993153,0.817658931248517
AEBP2,2.6011703e-08,-35.0229377746582,-1.478729797306051,0.10546911,0.745362661996749,0.8178549720849154
VAV1,2.6007923e-08,-35.02345275878906,-1.4790111535419324,0.10543845,0.745398392567608,0.8175952398009472
LRP1B,2.5987495e-08,-35.02622604370117,-1.480526308975161,0.10527289,0.7455914369513834,0.8175081849803074
BRI3,2.5979178e-08,-35.0273551940918,-1.4811432085738345,0.10520552,0.745670037125678,0.8172957565427902
IBTK,2.597331e-08,-35.02815246582031,-1.4815787897093844,0.105158,0.7457254964472421,0.8170581288200707
SP100,2.59695e-08,-35.02866744995117,-1.4818601459452658,0.10512715,0.7457615115526899,0.8167993781640958
MYH9,2.5930442e-08,-35.03398132324219,-1.4847633254755097,0.10481116,0.7461307051957853,0.8169055987933425
MED14,2.5892604e-08,-35.03913497924805,-1.4875789719545907,0.1045055,0.7464884190206802,0.8169991777830274
GATAD2B,2.5884269e-08,-35.0402717590332,-1.4882000397937958,0.10443823,0.7465672241322967,0.8167875463437924
RNLS,2.587866e-08,-35.04103469848633,-1.4886168638469535,0.10439297,0.7466202625080728,0.8165478891351045
SLAIN2,2.585297e-08,-35.04454040527344,-1.4905321703712135,0.104185805,0.7468631789610973,0.8165159927367043
IGSF6,2.582968e-08,-35.047725677490234,-1.492272410793147,0.10399818,0.7470834187336546,0.816459337079278
RECK,2.581345e-08,-35.04994201660156,-1.4934832846675705,0.10386752,0.747236910679834,0.8163298030397459
LRRFIP1,2.5798517e-08,-35.05198669433594,-1.4946003731300335,0.10374739,0.7473781375106237,0.816186968948101
SUCLG2,2.5747157e-08,-35.05902099609375,-1.498443490900148,0.10333472,0.7478639583645951,0.8164204216268279
ENTPD3-AS1,2.5736934e-08,-35.0604248046875,-1.4992104471579584,0.10325268,0.7479606658519483,0.8162290757169808
PTGS1,2.5712485e-08,-35.06378173828125,-1.5010444729918526,0.103056595,0.7481919836214181,0.8161847120493915
CPEB4,2.5661436e-08,-35.07080078125,-1.5048792542809042,0.10264779,0.7486750275332952,0.8164148828588005
